diffrence,color,mask,illumination,threshold,min_error
3907_056_df.jpg,3907_056_cl.jpg,3907_056_pr.jpg,1489074,175,556434
3907_057_df.jpg,3907_057_cl.jpg,3907_057_pr.jpg,1443177,150,273459
3907_058_df.jpg,3907_058_cl.jpg,3907_058_pr.jpg,1446210,140,0
3907_059_df.jpg,3907_059_cl.jpg,3907_059_pr.jpg,1394364,148,0
3907_060_df.jpg,3907_060_cl.jpg,3907_060_pr.jpg,1534266,117,0
3907_061_df.jpg,3907_061_cl.jpg,3907_061_pr.jpg,1566569,107,0
3907_062_df.jpg,3907_062_cl.jpg,3907_062_pr.jpg,1626471,86,0
3907_063_df.jpg,3907_063_cl.jpg,3907_063_pr.jpg,2140917,52,0
3949_000_df.jpg,3949_000_cl.jpg,3949_000_pr.jpg,2428982,32,0
3949_001_df.jpg,3949_001_cl.jpg,3949_001_pr.jpg,2535376,38,0
3949_002_df.jpg,3949_002_cl.jpg,3949_002_pr.jpg,2435692,39,0
3949_003_df.jpg,3949_003_cl.jpg,3949_003_pr.jpg,2241763,62,0
3949_004_df.jpg,3949_004_cl.jpg,3949_004_pr.jpg,2096804,58,0
3949_005_df.jpg,3949_005_cl.jpg,3949_005_pr.jpg,2146912,106,0
3949_006_df.jpg,3949_006_cl.jpg,3949_006_pr.jpg,2195826,116,0
3949_007_df.jpg,3949_007_cl.jpg,3949_007_pr.jpg,2274572,130,0
3949_008_df.jpg,3949_008_cl.jpg,3949_008_pr.jpg,2324322,122,0
3949_009_df.jpg,3949_009_cl.jpg,3949_009_pr.jpg,2257686,143,0
3949_010_df.jpg,3949_010_cl.jpg,3949_010_pr.jpg,2185130,145,0
3949_011_df.jpg,3949_011_cl.jpg,3949_011_pr.jpg,2093583,127,0
3949_012_df.jpg,3949_012_cl.jpg,3949_012_pr.jpg,2087530,130,0
3949_013_df.jpg,3949_013_cl.jpg,3949_013_pr.jpg,2127939,125,0
3949_014_df.jpg,3949_014_cl.jpg,3949_014_pr.jpg,2202619,131,0
3949_015_df.jpg,3949_015_cl.jpg,3949_015_pr.jpg,2322699,139,0
3949_016_df.jpg,3949_016_cl.jpg,3949_016_pr.jpg,2374771,110,0
3949_017_df.jpg,3949_017_cl.jpg,3949_017_pr.jpg,2128011,109,0
3949_018_df.jpg,3949_018_cl.jpg,3949_018_pr.jpg,2494404,144,0
3949_019_df.jpg,3949_019_cl.jpg,3949_019_pr.jpg,2521272,119,0
3949_020_df.jpg,3949_020_cl.jpg,3949_020_pr.jpg,2198101,109,0
3949_021_df.jpg,3949_021_cl.jpg,3949_021_pr.jpg,2103560,141,0
3949_022_df.jpg,3949_022_cl.jpg,3949_022_pr.jpg,2188188,106,122976
3949_023_df.jpg,3949_023_cl.jpg,3949_023_pr.jpg,2298702,117,343083
3949_024_df.jpg,3949_024_cl.jpg,3949_024_pr.jpg,2333500,106,307356
3949_025_df.jpg,3949_025_cl.jpg,3949_025_pr.jpg,2225609,132,501162
3949_026_df.jpg,3949_026_cl.jpg,3949_026_pr.jpg,2429090,105,644961
3949_027_df.jpg,3949_027_cl.jpg,3949_027_pr.jpg,2178307,68,459447
3949_028_df.jpg,3949_028_cl.jpg,3949_028_pr.jpg,2147982,61,357744
3949_029_df.jpg,3949_029_cl.jpg,3949_029_pr.jpg,2044520,69,786018
3949_030_df.jpg,3949_030_cl.jpg,3949_030_pr.jpg,2037557,87,621903
3949_031_df.jpg,3949_031_cl.jpg,3949_031_pr.jpg,2135356,83,695898
3949_032_df.jpg,3949_032_cl.jpg,3949_032_pr.jpg,2198608,97,387645
3949_033_df.jpg,3949_033_cl.jpg,3949_033_pr.jpg,2164648,118,0
3949_034_df.jpg,3949_034_cl.jpg,3949_034_pr.jpg,1934039,7,0
3949_035_df.jpg,3949_035_cl.jpg,3949_035_pr.jpg,2196110,117,892134
3949_036_df.jpg,3949_036_cl.jpg,3949_036_pr.jpg,2299441,61,1758474
3949_037_df.jpg,3949_037_cl.jpg,3949_037_pr.jpg,1998318,64,1895178
3949_038_df.jpg,3949_038_cl.jpg,3949_038_pr.jpg,2012933,84,1999065
3949_039_df.jpg,3949_039_cl.jpg,3949_039_pr.jpg,2164182,59,1958433
3949_040_df.jpg,3949_040_cl.jpg,3949_040_pr.jpg,2203793,74,1752393
3949_041_df.jpg,3949_041_cl.jpg,3949_041_pr.jpg,2182091,79,2128629
3949_042_df.jpg,3949_042_cl.jpg,3949_042_pr.jpg,2137541,45,1883853
3949_043_df.jpg,3949_043_cl.jpg,3949_043_pr.jpg,2137187,60,1844991
3949_044_df.jpg,3949_044_cl.jpg,3949_044_pr.jpg,1922947,60,2168916
3949_045_df.jpg,3949_045_cl.jpg,3949_045_pr.jpg,1872315,45,2106567
3949_046_df.jpg,3949_046_cl.jpg,3949_046_pr.jpg,1789567,79,2139822
3949_047_df.jpg,3949_047_cl.jpg,3949_047_pr.jpg,1746874,51,1874829
3949_048_df.jpg,3949_048_cl.jpg,3949_048_pr.jpg,1783161,68,1468566
3949_049_df.jpg,3949_049_cl.jpg,3949_049_pr.jpg,2077177,81,360990
3949_050_df.jpg,3949_050_cl.jpg,3949_050_pr.jpg,2074021,15,0
3951_000_df.jpg,3951_000_cl.jpg,3951_000_pr.jpg,2509953,9,0
3951_001_df.jpg,3951_001_cl.jpg,3951_001_pr.jpg,2462330,54,0
3951_002_df.jpg,3951_002_cl.jpg,3951_002_pr.jpg,2364759,54,0
3951_003_df.jpg,3951_003_cl.jpg,3951_003_pr.jpg,2312331,112,0
3951_004_df.jpg,3951_004_cl.jpg,3951_004_pr.jpg,2073061,23,0
3951_005_df.jpg,3951_005_cl.jpg,3951_005_pr.jpg,2124546,25,0
3951_006_df.jpg,3951_006_cl.jpg,3951_006_pr.jpg,2163759,35,0
3951_007_df.jpg,3951_007_cl.jpg,3951_007_pr.jpg,2233114,20,0
3951_008_df.jpg,3951_008_cl.jpg,3951_008_pr.jpg,2240450,16,0
3951_009_df.jpg,3951_009_cl.jpg,3951_009_pr.jpg,2181124,59,0
3951_010_df.jpg,3951_010_cl.jpg,3951_010_pr.jpg,2107326,66,0
3951_011_df.jpg,3951_011_cl.jpg,3951_011_pr.jpg,2035875,63,0
3951_012_df.jpg,3951_012_cl.jpg,3951_012_pr.jpg,2138101,105,0
3951_013_df.jpg,3951_013_cl.jpg,3951_013_pr.jpg,2157263,105,0
3951_014_df.jpg,3951_014_cl.jpg,3951_014_pr.jpg,2214108,74,0
3951_015_df.jpg,3951_015_cl.jpg,3951_015_pr.jpg,2311155,85,0
3951_016_df.jpg,3951_016_cl.jpg,3951_016_pr.jpg,2310878,93,0
3951_017_df.jpg,3951_017_cl.jpg,3951_017_pr.jpg,2466411,144,0
3951_018_df.jpg,3951_018_cl.jpg,3951_018_pr.jpg,2339759,80,0
